Material,Attribute,Object,Name,apple,bottle,bowl,brick,cabinet,ceiling,cement,ceramic,chair,clock,coffee,cup,curtain,desk,dishcloth,door,drawer,extractor,fabric,faucet,floor,flower,food,fruit,glass,handle,jar,kettle,laminate,leather,metal,microwave,mug,outlet,oven,paper,plant,plaster,plastic,plate,pot,refrigerator,rug,shelf,sink,stone,stove,table,trash,tray,wall,water,wax,wheat,window,wine,wood,worktop,other
30,23,14,handle,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,20,,,,,,,,3,,,,,,,,,,,,,,,,,,,,3
29,28,10,table crop,,,,,,,,,,,,,,,,,,,5,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,3
28,27,12,coffee maker,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,14,,,,,,,,6,,,,,,,,,,,,,,,,,,,,4
28,28,18,kitchen island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,17,,5
28,28,11,drawers,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,2
28,27,17,dishcloth,,,,,,,,,,,,,,,4,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
25,25,20,tray,,,,,,,,4,,,,,,,,,,,,,,,,,3,,,,,,3,,,,,,,,7,,,,,,,,,,,3,,,,,,,,,5
25,25,11,cabinet crop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,6
24,24,14,candle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,12,,,,3,,6
22,21,19,cup,,,,,,,,6,,,,4,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,6
22,21,11,rug,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,5
22,19,13,shelf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,4,,,,,,,,,,,,,7,,7
21,21,19,switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,4
20,19,8,frying pan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
20,20,15,plant pot,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,8
17,17,7,books,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,
17,17,5,chair crop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,10,,4
16,16,9,bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,1
16,16,19,plates,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,8
16,16,7,stool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,9,,3
16,15,5,carpet,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
15,15,4,wine bottle,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
15,14,12,picture,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,7
15,15,6,orange,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
15,15,9,napkin,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
