Material,Attribute,Object,Name
589,576,275,cabinet,467,38,30,14,40
381,378,196,wall,109,100,54,34,21,18,45
210,208,104,worktop,106,37,26,8,8,7,5,13
191,189,77,floor,67,46,34,13,10,6,15
171,161,73,window,109,38,14,5,5
171,170,99,ceiling lamp,93,20,20,13,6,19
162,158,68,stove,124,16,6,4,12
140,137,59,sink,105,9,8,4,4,10
119,119,78,cabinets,90,7,5,4,4,3,6
111,108,48,plate,34,33,17,7,6,5,3,3,3
104,102,59,ceiling,32,20,17,8,6,4,4,3,3,7
95,92,41,chair,53,9,9,8,3,2,2,9
90,85,35,microwave,49,10,9,7,7,5,3
86,82,40,oven,56,8,6,5,2,2,2,5
81,80,30,refrigerator,50,10,8,3,2,2,2,4
74,74,50,faucet,58,4,3,3,6
71,71,52,plant,40,17,3,2,2,7
63,57,39,drawer,46,5,5,3,4
62,62,26,flowers,31,15,6,3,7
62,58,50,pot,24,9,7,5,3,2,2,2,8
59,58,44,bowl,22,11,8,7,4,2,2,3
58,57,17,table,39,8,4,2,2,3
57,57,23,extractor hood,34,9,5,3,2,4
51,48,38,outlet,30,6,4,3,3,2,2,1
50,46,26,door,38,3,2,2,5
50,49,18,curtain,36,9,5
45,44,34,glass,35,5,4,1,0
43,43,17,wine glass,30,8,4,1,0
43,41,25,mug,17,12,5,5,4,0
43,43,14,chair occluded,25,8,5,4,1,0
41,40,18,apple,29,5,3,2,1,1,0
41,40,16,kettle,28,4,2,2,2,1,1,1,0
40,39,41,jar,23,5,5,4,1,1,1,0
37,37,33,bottle,22,6,4,1,1,1,1,1,0
37,37,27,cabinet occluded,24,4,3,2,1,1,1,1,0
36,36,24,basket,25,2,2,1,1,1,1,1,1,1,0
35,34,31,vase,19,5,4,2,1,1,1,1,1,0
35,35,19,painting,9,8,6,5,3,1,1,1,1,0
34,32,21,dishwasher,23,3,2,2,1,1,1,1,0
30,30,16,teapot,13,5,4,2,2,1,1,1,1,0
30,23,14,handle,20,4,3,1,1,1,0
29,28,10,table crop,13,8,5,2,1,0
28,27,12,coffee maker,14,6,4,2,1,1,0
28,28,18,kitchen island,17,6,1,1,1,1,1,0
28,28,11,drawers,22,3,2,1,0
28,27,17,dishcloth,17,4,2,1,1,1,1,1,0
25,25,20,tray,7,4,3,3,3,2,1,1,1,0
25,25,11,cabinet crop,19,2,1,1,1,1,0
24,24,14,candle,12,3,3,2,1,1,1,1,0
22,21,19,cup,6,4,3,3,2,2,1,1,0
22,21,11,rug,13,4,2,2,1,0
22,19,13,shelf,7,4,4,2,2,1,1,1,0
21,21,19,switch,17,2,1,1,0
20,19,8,frying pan,17,2,1,0
20,20,15,plant pot,9,3,2,2,2,1,1,0
17,17,7,books,17,0
17,17,5,chair crop,10,3,2,2,0
16,16,9,bag,9,6,1,0
16,16,19,plates,3,3,2,2,2,1,1,1,1,0
16,16,7,stool,9,4,1,1,1,0
16,15,5,carpet,9,2,1,1,1,1,1,0
15,15,4,wine bottle,14,1,0
15,14,12,picture,4,4,2,2,1,1,1,0
15,15,6,orange,7,2,1,1,1,1,1,1,0
15,15,9,napkin,10,2,1,1,1,0
14,14,5,desk lamp,3,3,2,2,2,1,1,0
14,14,6,fruit,5,4,2,2,1,0
13,13,2,trash can,10,3,0
13,13,6,clock,5,3,3,1,1,0
13,13,7,bowls,6,2,1,1,1,1,1,0
13,13,3,door occluded,7,2,1,1,1,1,0
13,13,5,soap bottle,7,3,2,1,0
12,11,8,glasses,8,2,1,1,0
12,12,7,chandelier,9,2,1,0
12,12,10,bread,4,3,2,1,1,1,0
12,4,10,knob,8,3,1,0
12,12,4,switches,9,2,1,0
11,10,4,shelves,6,4,1,0
11,11,7,grapes,7,2,1,1,0
11,11,6,saucepan,10,1,0
940,844,852,Other Objects
