Material,Attribute,Object,Name,apple,bottle,bowl,brick,cabinet,ceiling,cement,ceramic,chair,clock,coffee,cup,curtain,desk,dishcloth,door,drawer,extractor,fabric,faucet,floor,flower,food,fruit,glass,handle,jar,kettle,laminate,leather,metal,microwave,mug,outlet,oven,paper,plant,plaster,plastic,plate,pot,refrigerator,rug,shelf,sink,stone,stove,table,trash,tray,wall,water,wax,wheat,window,wine,wood,worktop,other
86,38,40,oven,,,,,,,,,,,,,,,,,,,8,,,,,,6,,,,,,56,,,,5,,,,,,,,,,,,,,,,,,,,,,,,11
81,35,30,refrigerator,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,50,,,,,,,,,,,10,,,,,,,,,,,,,,,3,,10
74,38,50,faucet,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,58,,,,,,,,3,,,,,,,,,,,,,,,,,,4,,6
71,39,52,plant,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,40,,17,,,,,,,,,,,,,,,,,,,,11
63,25,39,drawer,,,,,,,,,,,,,,,,,3,,5,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,46,,4
62,27,26,flowers,,,,,,,,,,,,,,,,,,,3,,,6,,,,,,,,,,,,,,,31,,15,,,,,,,,,,,,,,,,,,,,7
62,23,50,pot,,,,,,,,24,,,,,,,,,,,,,,,,,7,,,,,,5,,,,,,,,3,,9,,,,,,,,,,,,,,,,,,14
59,36,44,bowl,,,7,,,,,11,,,,,,,,,,,,,,,,,22,,,,,,4,,,,,,,,8,,,,,,,,,,,,,,,,,,,,7
58,37,17,table,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,39,,7
57,21,23,extractor hood,,,,,,,,,,,,,,,,,,5,3,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,9,,6
51,23,38,outlet,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,3,,,3,,,,,30,,,,,,,,,,,,,,,,,,4,,5
50,19,26,door,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,9
50,19,18,curtain,,,,,,,,,,,,,9,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
45,26,34,glass,,,,,,,,5,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,1
43,22,17,wine glass,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,8,,,1
43,24,25,mug,,,,,,,,12,,,,,,,,,,,,,,,,,5,,,,,,4,,5,,,,,,17,,,,,,,,,,,,,,,,,,,,
43,21,14,chair occluded,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,4,,,,,,,,,,,,,,,,,,25,,1
41,13,18,apple,5,,,,,,,,,,,,,,,,,,,,,,29,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
41,27,16,kettle,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
40,17,41,jar,,,,,,,,4,,,,,,,,,,,,,,,,,23,,5,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,3
37,24,33,bottle,,4,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,5
37,24,27,cabinet occluded,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,6
36,23,24,basket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,11
35,19,31,vase,,,,,,,,19,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,7
35,21,19,painting,,,,,,,,,,,,,,,,,,,3,,,,,,5,,,,9,,,,,,,8,,,,,,,,,,,,,,,,,,,,,6,,4
34,19,21,dishwasher,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
30,16,16,teapot,,,,,,,,4,,,,,,,,,,,,,,,,,5,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
30,7,14,handle,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,20,,,,,,,,3,,,,,,,,,,,,,,,,,,,,3
29,14,10,table crop,,,,,,,,,,,,,,,,,,,5,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,3
28,15,12,coffee maker,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,14,,,,,,,,6,,,,,,,,,,,,,,,,,,,,4
28,20,18,kitchen island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,17,,5
28,15,11,drawers,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,2
28,14,17,dishcloth,,,,,,,,,,,,,,,4,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
25,15,20,tray,,,,,,,,4,,,,,,,,,,,,,,,,,3,,,,,,3,,,,,,,,7,,,,,,,,,,,3,,,,,,,,,5
25,9,11,cabinet crop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,6
24,8,14,candle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,12,,,,3,,6
22,10,19,cup,,,,,,,,6,,,,4,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,6
22,12,11,rug,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,5
22,8,13,shelf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,4,,,,,,,,,,,,,7,,7
21,15,19,switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,4
20,12,8,frying pan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
20,14,15,plant pot,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,8
17,11,7,books,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,
17,11,5,chair crop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,10,,4
16,1,9,bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,1
16,6,19,plates,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,8
16,6,7,stool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,9,,3
16,8,5,carpet,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
15,6,4,wine bottle,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
